estatura	peso	genero	ingresos	etnia	educacion	educacion_madre	educacion_padre	camina	ejercicio	fumador	tenso	malhumorado	edad
187.96	95.25	masculino	50000	Blanco	16	16	16	3	3	2	0	0	45
167.64	56.7	femenino	60000	Blanco	16	16	16	6	5	1	0	0	58
162.56	57.15	femenino	30000	Blanco	16	16	16	8	1	2	1	1	29
165.1	90.72	femenino	25000	Blanco	17	17	NA	8	1	2	0	0	57
160.02	49.9	femenino	50000	Other	16	16	16	5	6	2	0	0	91
172.72	74.84	femenino	62000	Afroamericano	18	18	18	1	1	2	2	2	54
160.02	86.18	femenino	51000	Blanco	17	17	17	3	1	2	4	4	39
162.56	56.7	femenino	9000	Blanco	15	15	15	7	4	1	4	4	26
157.48	90.72	femenino	29000	Blanco	12	12	12	2	2	2	0	0	49
185.42	104.33	masculino	32000	Blanco	17	17	17	7	1	1	0	0	46
182.88	79.83	masculino	2000	Latino	15	15	15	8	1	2	0	0	21
182.88	120.2	masculino	35000	Blanco	NA	99	99	1	1	2	0	0	53
182.88	72.57	masculino	27000	Blanco	12	12	12	1	2	2	1	1	26
177.8	102.06	masculino	6530	Blanco	16	16	NA	4	1	2	0	0	65
160.02	48.53	femenino	0	Blanco	14	14	14	7	4	2	2	2	50
172.72	77.11	masculino	30000	Blanco	11	NA	NA	7	4	2	0	0	34
172.72	65.32	masculino	12000	Blanco	12	12	12	6	5	2	2	2	27
180.34	87.54	masculino	15000	Blanco	18	18	18	4	6	2	0	0	51
165.1	113.4	femenino	12000	Blanco	12	12	12	5	1	2	1	1	51
167.64	58.97	femenino	20000	Blanco	11	11	11	8	1	1	0	0	45
152.4	45.36	femenino	0	Blanco	12	12	12	4	2	1	7	7	27
165.1	55.79	femenino	25000	Blanco	12	12	12	1	4	1	0	0	41
167.64	58.97	femenino	22000	Blanco	16	16	16	5	1	2	1	1	35
165.1	54.43	femenino	25000	Blanco	16	16	16	5	4	2	1	1	29
180.34	72.57	masculino	20000	Blanco	14	14	14	7	4	2	0	0	22
172.72	78.02	masculino	17000	Blanco	12	12	12	8	1	2	0	0	58
172.72	61.23	femenino	40000	Blanco	14	14	14	8	7	2	1	1	29
177.8	81.65	masculino	44000	Blanco	13	13	13	8	2	2	4	4	44
170.18	50.8	femenino	0	Blanco	9	9	9	1	1	1	0	0	21
162.56	108.86	femenino	7000	Afroamericano	12	12	12	8	1	2	4	4	55
185.42	86.18	masculino	53000	Afroamericano	13	13	13	6	7	2	2	2	35
162.56	65.77	femenino	5000	Afroamericano	12	NA	NA	3	1	1	7	7	23
157.48	54.43	femenino	5000	Blanco	13	13	13	2	1	1	0	0	51
160.02	51.71	femenino	14000	Blanco	14	14	14	5	3	2	0	0	21
175.26	77.11	masculino	45000	Blanco	14	14	14	8	7	2	1	1	36
170.18	75.3	masculino	5500	Blanco	14	14	14	6	7	2	0	0	22
167.64	56.25	femenino	40000	Blanco	12	12	12	4	4	2	0	0	41
182.88	79.38	masculino	34000	Blanco	12	12	NA	2	1	2	0	0	45
160.02	54.43	femenino	5000	Afroamericano	12	12	12	4	1	1	7	7	23
160.02	83.46	femenino	10000	Afroamericano	12	12	12	8	3	2	3	3	35
172.72	68.04	masculino	0	Blanco	11	11	NA	2	7	1	1	1	21
162.56	68.04	femenino	27000	Blanco	16	16	16	2	1	1	0	0	60
185.42	99.79	masculino	62000	Blanco	14	14	NA	8	1	2	2	2	44
170.18	99.79	femenino	15000	Blanco	12	12	12	1	1	2	0	0	69
152.4	NA	femenino	0	Blanco	12	12	12	8	1	2	0	0	44
182.88	81.65	masculino	50000	Blanco	16	16	16	5	6	2	1	1	38
172.72	71.67	femenino	0	Blanco	12	NA	NA	3	1	2	0	0	55
195.58	115.67	masculino	41000	Blanco	16	16	16	7	7	2	0	0	33
162.56	68.04	femenino	0	Blanco	10	10	10	8	1	2	0	0	19
162.56	58.97	femenino	15000	Blanco	14	14	14	4	1	2	3	3	25
162.56	NA	femenino	25000	Blanco	12	12	12	1	5	2	7	7	33
160.02	66.22	femenino	25000	Blanco	16	16	16	5	1	2	1	1	72
182.88	83.91	masculino	75000	Blanco	17	17	17	8	5	2	4	4	39
172.72	81.65	masculino	27000	Blanco	17	17	17	5	2	2	0	0	31
162.56	61.23	femenino	12000	Blanco	12	12	12	8	1	2	7	7	26
177.8	76.2	masculino	40000	Blanco	12	12	12	7	3	2	0	0	51
154.94	62.6	femenino	7500	Blanco	14	14	14	8	1	1	0	0	78
165.1	52.16	femenino	25000	Blanco	12	12	12	7	2	1	0	0	46
170.18	61.23	femenino	30000	Afroamericano	14	14	14	8	6	2	7	7	31
165.1	68.04	femenino	21000	Blanco	12	12	12	8	1	1	0	0	57
162.56	54.43	femenino	27000	Blanco	14	14	14	5	1	2	0	0	26
185.42	74.84	masculino	45000	Blanco	16	16	16	7	2	1	0	0	44
170.18	58.97	femenino	3000	Blanco	15	15	15	1	1	2	1	1	65
165.1	77.11	femenino	25000	Blanco	12	12	12	8	7	2	2	2	30
165.1	63.5	femenino	24000	Blanco	12	12	12	1	7	2	1	1	41
170.18	65.77	femenino	32000	Blanco	18	18	18	4	5	1	1	1	29
172.72	65.77	femenino	10000	Blanco	17	17	17	7	2	2	1	1	30
177.8	68.04	femenino	0	Blanco	12	12	12	5	1	2	0	0	57
152.4	45.36	femenino	11000	Latino	12	12	12	2	1	2	0	0	21
165.1	47.63	femenino	18700	Blanco	13	13	13	5	6	2	0	0	32
157.48	54.43	femenino	20000	Blanco	12	12	12	2	1	1	7	7	29
182.88	72.57	masculino	3500	Blanco	10	10	10	4	7	2	0	0	18
170.18	93.44	masculino	13000	Afroamericano	8	8	8	8	1	2	5	5	56
177.8	77.11	masculino	25000	Blanco	12	12	12	1	1	2	0	0	65
177.8	83.01	masculino	21000	Blanco	17	17	17	5	5	2	0	0	41
